year;week; SMN;SMT;VCI;TCI; VHI
1982; 1; 0.075;262.75; 64.53; 31.46; 48.00;
1982; 2; 0.081;265.03; 70.81; 21.55; 46.18;
1982; 3; 0.083;266.13; 71.51; 17.89; 44.70;
1982; 4; 0.081;267.11; 68.65; 16.50; 42.57;
1982; 5; 0.073;267.03; 57.97; 22.48; 40.22;
1982; 6; 0.068;267.52; 47.81; 27.47; 37.64;
1982; 7; 0.066;268.58; 40.26; 29.10; 34.68;
1982; 8; 0.067;269.87; 36.32; 30.27; 33.30;
1982; 9; 0.068;271.21; 33.38; 31.85; 32.61;
1982;10; 0.072;273.02; 30.19; 33.12; 31.66;
1982;11; 0.084;275.13; 30.74; 31.61; 31.18;
1982;12; 0.097;277.17; 30.10; 35.58; 32.84;
1982;13; 0.106;278.78; 26.22; 41.79; 34.01;
1982;14; 0.117;280.23; 19.84; 50.11; 34.98;
1982;15; 0.130;281.48; 12.55; 64.80; 38.68;
1982;16; 0.157;283.17; 11.09; 76.87; 43.98;
1982;17; 0.193;285.30; 13.02; 83.96; 48.49;
1982;18; 0.253;288.40; 24.96; 80.29; 52.62;
1982;19; 0.307;290.96; 34.73; 72.38; 53.55;
1982;20; 0.348;292.51; 38.56; 69.06; 53.81;
1982;21; 0.375;293.01; 38.98; 71.67; 55.32;
1982;22; 0.390;292.96; 35.81; 74.70; 55.26;
1982;23; 0.397;292.85; 30.98; 77.19; 54.09;
1982;24; 0.398;292.73; 27.36; 80.34; 53.85;
1982;25; 0.396;292.65; 25.23; 84.82; 55.02;
1982;26; 0.393;292.54; 23.39; 87.61; 55.50;
1982;27; 0.396;292.87; 26.40; 86.81; 56.61;
1982;28; 0.400;293.33; 34.56; 84.79; 59.68;
1982;29; 0.405;293.73; 43.40; 83.38; 63.39;
1982;30; 0.401;293.92; 47.31; 83.03; 65.17;
1982;31; 0.398;294.27; 48.39; 79.11; 63.75;
1982;32; 0.392;294.53; 47.88; 73.67; 60.78;
1982;33; 0.388;294.55; 49.73; 67.54; 58.63;
1982;34; 0.384;294.43; 54.70; 60.08; 57.39;
1982;35; 0.379;293.98; 61.85; 52.18; 57.02;
1982;36; 0.371;293.28; 68.66; 44.55; 56.61;
1982;37; 0.353;292.20; 72.27; 40.94; 56.61;
1982;38; 0.337;290.61; 75.02; 40.07; 57.54;
1982;39; 0.312;288.77; 72.82; 39.53; 56.18;
1982;40; 0.279;286.81; 66.85; 38.97; 52.91;
1982;41; 0.241;284.73; 57.36; 37.39; 47.38;
1982;42; 0.207;282.77; 50.12; 36.04; 43.08;
1982;43; 0.181;280.69; 49.03; 34.28; 41.65;
1982;44; 0.160;278.91; 49.96; 20.67; 35.32;
1982;45; 0.137;277.12; 47.05; 15.86; 31.45;
1982;46; 0.119;274.95; 48.70; 17.25; 32.98;
1982;47; 0.101;272.60; 48.31; 20.07; 34.19;
1982;48; 0.085;269.76; 43.89; 28.36; 36.13;
1982;49; 0.069;266.86; 34.39; 35.10; 34.75;
1982;50; 0.058;264.07; 29.88; 40.28; 35.08;
1982;51; 0.057;262.25; 34.62; 40.77; 37.70;
1982;52; 0.055;261.68; 37.03; 38.70; 37.86;
1983; 1; 0.053;262.02; 37.66; 33.81; 35.74;
1983; 2; 0.052;262.64; 36.58; 30.39; 33.49;
1983; 3; 0.054;263.35; 39.99; 28.50; 34.25;
1983; 4; 0.057;263.87; 44.17; 28.94; 36.55;
1983; 5; 0.057;263.80; 42.52; 34.48; 38.50;
1983; 6; 0.055;263.67; 37.21; 41.51; 39.36;
1983; 7; 0.056;264.21; 33.59; 45.40; 39.50;
1983; 8; 0.060;265.36; 32.51; 47.48; 40.00;
1983; 9; 0.068;267.00; 33.79; 48.15; 40.97;
1983;10; 0.080;269.28; 35.10; 47.92; 41.51;
1983;11; 0.096;272.26; 37.12; 43.66; 40.39;
1983;12; 0.116;275.64; 40.35; 42.29; 41.32;
1983;13; 0.143;279.25; 45.31; 40.05; 42.68;
1983;14; 0.172;282.45; 49.67; 38.09; 43.88;
1983;15; 0.207;285.34; 54.07; 39.10; 46.58;
1983;16; 0.241;287.55; 55.25; 44.82; 50.03;
1983;17; 0.280;289.84; 57.56; 46.22; 51.89;
1983;18; 0.316;291.59; 58.04; 49.26; 53.65;
1983;19; 0.348;292.96; 57.58; 51.64; 54.61;
1983;20; 0.374;294.02; 53.91; 53.61; 53.76;
1983;21; 0.390;294.53; 48.32; 56.36; 52.34;
1983;22; 0.406;294.98; 46.43; 54.86; 50.65;
1983;23; 0.411;294.91; 41.74; 57.32; 49.53;
1983;24; 0.405;294.43; 33.05; 63.65; 48.35;
1983;25; 0.400;294.37; 28.15; 67.04; 47.60;
1983;26; 0.398;294.59; 26.53; 65.86; 46.19;
1983;27; 0.390;294.64; 23.25; 67.70; 45.47;
1983;28; 0.373;294.37; 17.69; 73.12; 45.41;
1983;29; 0.351;294.11; 12.55; 78.70; 45.62;
1983;30; 0.333;294.01; 10.69; 81.28; 45.99;
1983;31; 0.330;293.97; 11.98; 81.50; 46.74;
1983;32; 0.335;294.05; 15.75; 78.54; 47.14;
1983;33; 0.340;294.09; 22.16; 72.75; 47.45;
1983;34; 0.340;294.15; 29.73; 63.53; 46.63;
1983;35; 0.342;294.39; 41.76; 46.70; 44.23;
1983;36; 0.330;293.64; 47.41; 39.90; 43.66;
1983;37; 0.311;292.46; 50.04; 37.72; 43.88;
1983;38; 0.289;290.95; 49.75; 35.47; 42.61;
1983;39; 0.266;288.78; 47.07; 39.61; 43.34;
1983;40; 0.244;286.84; 45.30; 38.54; 41.92;
1983;41; 0.218;284.55; 42.35; 40.21; 41.28;
1983;42; 0.193;281.87; 40.42; 47.42; 43.92;
1983;43; 0.166;279.45; 38.42; 47.16; 42.79;
1983;44; 0.138;276.43; 35.09; 43.22; 39.16;
1983;45; 0.114;273.37; 30.46; 43.54; 37.00;
1983;46; 0.092;270.57; 26.36; 44.23; 35.29;
1983;47; 0.079;267.83; 27.21; 45.23; 36.22;
1983;48; 0.072;265.84; 31.53; 46.12; 38.82;
1983;49; 0.065;264.06; 29.95; 46.28; 38.12;
1983;50; 0.062;262.46; 33.79; 46.51; 40.15;
1983;51; 0.058;260.38; 34.92; 48.08; 41.50;
1983;52; 0.054;258.05; 35.32; 52.40; 43.86;
1984; 1; 0.053;256.81; 36.72; 53.36; 45.04;
1984; 2; 0.051;256.03; 35.94; 55.91; 45.92;
1984; 3; 0.050;255.17; 36.61; 60.35; 48.48;
1984; 4; 0.049;255.31; 36.32; 61.80; 49.06;
1984; 5; 0.046;255.90; 33.00; 64.16; 48.58;
1984; 6; 0.044;256.44; 28.40; 68.11; 48.25;
1984; 7; 0.043;256.99; 24.25; 71.75; 48.00;
1984; 8; 0.043;257.31; 21.64; 76.57; 49.10;
1984; 9; 0.044;259.42; 20.11; 75.37; 47.74;
1984;10; 0.050;262.94; 18.72; 71.24; 44.98;
1984;11; 0.059;267.19; 18.31; 63.67; 40.99;
1984;12; 0.074;271.87; 18.76; 57.69; 38.22;
1984;13; 0.093;276.99; 19.25; 49.97; 34.61;
1984;14; 0.115;281.62; 19.07; 42.00; 30.54;
1984;15; 0.143;284.90; 19.39; 41.34; 30.37;
1984;16; 0.170;286.94; 18.14; 48.85; 33.49;
1984;17; 0.203;289.04; 18.28; 52.91; 35.60;
1984;18; 0.243;290.66; 19.66; 58.40; 39.03;
1984;19; 0.286;291.60; 23.39; 65.53; 44.46;
1984;20; 0.327;292.05; 26.84; 73.38; 50.11;
1984;21; 0.359;292.14; 30.04; 80.09; 55.06;
1984;22; 0.380;291.94; 30.50; 84.34; 57.42;
1984;23; 0.393;291.46; 30.03; 90.10; 60.06;
1984;24; 0.401;291.30; 31.53; 93.64; 62.59;
1984;25; 0.409;291.64; 35.40; 94.72; 65.06;
1984;26; 0.411;291.79; 36.33; 95.25; 65.79;
1984;27; 0.412;292.08; 37.62; 95.23; 66.43;
1984;28; 0.410;292.51; 41.10; 93.70; 67.40;
1984;29; 0.407;293.05; 44.92; 90.61; 67.77;
1984;30; 0.401;293.43; 47.05; 88.05; 67.55;
1984;31; 0.386;293.33; 41.46; 88.97; 65.22;
1984;32; 0.371;293.27; 35.46; 87.35; 61.40;
1984;33; 0.357;292.92; 30.97; 86.12; 58.55;
1984;34; 0.341;292.41; 29.37; 85.00; 57.19;
1984;35; 0.319;291.33; 27.72; 86.01; 56.87;
1984;36; 0.294;290.15; 27.02; 84.91; 55.97;
1984;37; 0.272;289.36; 28.63; 77.87; 53.25;
1984;38; 0.250;288.17; 27.92; 73.72; 50.82;
1984;39; 0.228;286.60; 24.86; 71.30; 48.08;
1984;40; 0.213;285.04; 25.96; 64.28; 45.12;
1984;41; 0.201;283.05; 30.64; 60.45; 45.54;
1984;42; 0.189;281.31; 37.24; 54.14; 45.69;
1984;43; 0.172;279.44; 42.44; 47.03; 44.74;
1984;44; 0.149;276.88; 42.28; 39.35; 40.82;
1984;45; 0.128;273.46; 41.37; 42.87; 42.12;
1984;46; 0.107;270.51; 38.50; 44.16; 41.33;
1984;47; 0.091;268.37; 38.38; 42.27; 40.33;
1984;48; 0.082;266.67; 40.49; 42.73; 41.61;
1984;49; 0.079;267.32; 42.69; 33.44; 38.07;
1984;50;-1.000; -1.00; -1.00; -1.00; -1.00;
1984;51;-1.000; -1.00; -1.00; -1.00; -1.00;
1984;52;-1.000; -1.00; -1.00; -1.00; -1.00;
1985; 1;-1.000; -1.00; -1.00; -1.00; -1.00;
1985; 2;-1.000; -1.00; -1.00; -1.00; -1.00;
1985; 3;-1.000; -1.00; -1.00; -1.00; -1.00;
1985; 4;-1.000; -1.00; -1.00; -1.00; -1.00;
1985; 5;-1.000; -1.00; -1.00; -1.00; -1.00;
1985; 6;-1.000; -1.00; -1.00; -1.00; -1.00;
1985; 7;-1.000; -1.00; -1.00; -1.00; -1.00;
1985; 8;-1.000; -1.00; -1.00; -1.00; -1.00;
1985; 9; 0.046;265.68; 19.61; 51.14; 35.38;
1985;10; 0.046;266.34; 16.11; 57.55; 36.83;
1985;11; 0.053;268.79; 14.87; 56.50; 35.68;
1985;12; 0.068;272.38; 15.32; 55.09; 35.21;
1985;13; 0.092;277.25; 18.46; 48.58; 33.52;
1985;14; 0.123;281.48; 23.22; 42.74; 32.98;
1985;15; 0.159;284.76; 28.57; 42.66; 35.61;
1985;16; 0.196;287.41; 31.92; 45.64; 38.78;
1985;17; 0.236;289.86; 35.27; 46.01; 40.64;
1985;18; 0.274;291.40; 35.99; 51.07; 43.53;
1985;19; 0.313;292.96; 37.86; 51.61; 44.74;
1985;20; 0.342;294.00; 34.91; 53.60; 44.25;
1985;21; 0.365;294.18; 32.65; 59.64; 46.15;
1985;22; 0.383;294.21; 31.02; 62.28; 46.65;
1985;23; 0.393;293.76; 28.21; 68.33; 48.27;
1985;24; 0.397;293.18; 26.84; 75.85; 51.35;
1985;25; 0.400;293.26; 28.10; 78.59; 53.35;
1985;26; 0.400;293.45; 27.69; 78.20; 52.95;
1985;27; 0.399;293.68; 28.56; 78.36; 53.46;
1985;28; 0.395;293.96; 30.97; 77.99; 54.48;
1985;29; 0.394;294.50; 37.05; 74.68; 55.87;
1985;30; 0.393;295.21; 42.52; 68.68; 55.60;
1985;31; 0.392;296.20; 44.80; 57.74; 51.27;
1985;32; 0.391;296.92; 47.36; 46.79; 47.08;
1985;33; 0.382;297.29; 46.92; 35.08; 41.00;
1985;34; 0.364;297.10; 43.45; 25.92; 34.68;
1985;35; 0.341;296.22; 40.64; 22.89; 31.77;
1985;36; 0.316;294.49; 39.45; 29.09; 34.27;
1985;37; 0.293;292.57; 40.00; 36.40; 38.20;
1985;38; 0.269;290.73; 38.44; 38.59; 38.51;
1985;39; 0.247;288.60; 35.80; 42.15; 38.97;
1985;40; 0.221;286.02; 31.33; 50.39; 40.86;
1985;41; 0.202;283.40; 31.76; 55.98; 43.87;
1985;42; 0.183;281.03; 33.69; 57.56; 45.63;
1985;43; 0.165;278.56; 37.53; 56.32; 46.92;
1985;44; 0.147;275.65; 40.57; 50.91; 45.74;
1985;45; 0.125;272.10; 37.59; 53.50; 45.54;
1985;46; 0.091;267.60; 24.88; 62.76; 43.82;
1985;47; 0.064;263.86; 12.87; 66.50; 39.69;
1985;48; 0.048;259.77;  7.00; 74.06; 40.53;
1985;49; 0.041;255.82;  5.96; 79.55; 42.75;
1985;50; 0.036;252.59;  5.55; 83.64; 44.59;
1985;51; 0.032;249.96;  5.82; 85.96; 45.89;
1985;52; 0.028;247.68;  6.04; 88.20; 47.12;
1986; 1; 0.026;246.62;  4.74; 88.47; 46.60;
1986; 2; 0.026;247.55;  7.28; 86.47; 46.87;
1986; 3; 0.027;250.30; 11.30; 78.84; 45.07;
1986; 4; 0.026;252.82; 12.87; 71.72; 42.30;
1986; 5; 0.025;254.15; 13.07; 70.99; 42.03;
1986; 6; 0.024;255.91; 11.92; 70.64; 41.28;
1986; 7; 0.023;258.45;  9.48; 67.30; 38.39;
1986; 8; 0.024;261.23;  8.65; 63.04; 35.85;
1986; 9; 0.026;263.75;  9.15; 60.07; 34.61;
1986;10; 0.030;266.39;  7.55; 58.49; 33.02;
1986;11; 0.041;270.33;  8.40; 50.83; 29.61;
1986;12; 0.058;275.01; 10.32; 43.98; 27.15;
1986;13; 0.082;279.49; 13.59; 37.70; 25.64;
1986;14; 0.117;283.62; 19.71; 29.74; 24.73;
1986;15; 0.157;287.59; 27.19; 22.09; 24.64;
1986;16; 0.197;290.63; 32.79; 20.27; 26.53;
1986;17; 0.246;292.97; 40.44; 18.68; 29.56;
1986;18; 0.300;294.81; 50.09; 17.95; 34.02;
1986;19; 0.342;296.40; 54.07; 17.25; 35.66;
1986;20; 0.381;297.96; 57.42; 14.13; 35.77;
1986;21; 0.410;298.79; 60.19; 13.78; 36.99;
1986;22; 0.428;298.89; 60.99; 16.39; 38.69;
1986;23; 0.432;298.71; 56.43; 20.52; 38.48;
1986;24; 0.431;298.43; 51.28; 24.43; 37.86;
1986;25; 0.430;298.41; 48.59; 25.24; 36.92;
1986;26; 0.418;297.82; 39.96; 31.04; 35.50;
1986;27; 0.404;296.99; 32.54; 41.93; 37.24;
1986;28; 0.391;296.58; 29.05; 48.38; 38.71;
1986;29; 0.382;296.88; 30.20; 47.39; 38.79;
1986;30; 0.376;297.18; 33.24; 46.77; 40.01;
1986;31; 0.366;297.13; 31.12; 47.23; 39.18;
1986;32; 0.357;296.41; 28.03; 52.25; 40.14;
1986;33; 0.353;295.98; 29.90; 50.61; 40.26;
1986;34; 0.343;295.05; 31.26; 52.34; 41.80;
1986;35; 0.331;294.08; 35.04; 50.99; 43.02;
1986;36; 0.318;292.55; 39.68; 54.42; 47.05;
1986;37; 0.308;290.68; 47.82; 61.28; 54.55;
1986;38; 0.296;288.84; 52.92; 65.20; 59.06;
1986;39; 0.281;286.92; 55.11; 67.57; 61.34;
1986;40; 0.262;284.94; 56.42; 66.49; 61.46;
1986;41; 0.241;283.25; 57.58; 58.68; 58.13;
1986;42; 0.218;281.78; 57.36; 48.89; 53.12;
1986;43; 0.188;279.72; 52.91; 44.61; 48.76;
1986;44; 0.149;276.47; 42.22; 43.27; 42.74;
1986;45; 0.119;273.82; 34.30; 40.41; 37.36;
1986;46; 0.095;271.86; 28.35; 36.24; 32.29;
1986;47; 0.077;269.59; 26.02; 35.97; 30.99;
1986;48; 0.063;267.36; 22.45; 39.30; 30.87;
1986;49; 0.052;264.78; 16.97; 43.52; 30.25;
1986;50; 0.044;261.57; 14.13; 49.95; 32.04;
1986;51; 0.038;258.16; 13.37; 56.37; 34.87;
1986;52; 0.036;255.54; 14.80; 61.40; 38.10;
1987; 1; 0.032;253.29; 11.83; 66.33; 39.08;
1987; 2; 0.029;252.31; 10.29; 70.55; 40.42;
1987; 3; 0.030;252.00; 14.85; 73.71; 44.28;
1987; 4; 0.028;252.08; 14.88; 75.34; 45.11;
1987; 5; 0.025;252.07; 12.04; 79.34; 45.69;
1987; 6; 0.023;252.42; 10.86; 83.76; 47.31;
1987; 7; 0.024;253.78;  9.97; 84.65; 47.31;
1987; 8; 0.027;255.01; 10.67; 86.31; 48.49;
1987; 9; 0.029;256.39; 10.84; 87.65; 49.25;
1987;10; 0.031;257.83;  7.88; 91.22; 49.55;
1987;11; 0.035;259.81;  5.59; 93.59; 49.59;
1987;12; 0.046;262.99;  4.46; 94.32; 49.39;
1987;13; 0.064;267.38;  3.89; 94.39; 49.14;
1987;14; 0.090;272.26;  4.84; 94.58; 49.71;
1987;15; 0.122;277.06;  7.58; 95.49; 51.54;
1987;16; 0.155;281.03;  9.54; 94.82; 52.18;
1987;17; 0.190;284.62; 10.81; 91.51; 51.16;
1987;18; 0.228;287.31; 11.39; 90.86; 51.13;
1987;19; 0.278;289.14; 17.83; 89.92; 53.87;
1987;20; 0.326;291.10; 25.45; 82.78; 54.12;
1987;21; 0.368;292.75; 34.24; 74.02; 54.13;
1987;22; 0.401;293.84; 43.31; 66.09; 54.70;
1987;23; 0.423;294.34; 49.85; 62.82; 56.33;
1987;24; 0.441;295.09; 58.76; 57.31; 58.04;
1987;25; 0.455;295.59; 66.13; 54.54; 60.33;
1987;26; 0.462;295.93; 70.13; 51.50; 60.82;
1987;27; 0.461;296.26; 70.11; 50.15; 60.13;
1987;28; 0.450;296.37; 66.27; 51.15; 58.71;
1987;29; 0.428;296.13; 57.10; 56.58; 56.84;
1987;30; 0.404;295.47; 48.16; 66.43; 57.29;
1987;31; 0.383;294.31; 39.68; 78.87; 59.27;
1987;32; 0.373;293.42; 36.03; 86.15; 61.09;
1987;33; 0.364;292.64; 35.19; 89.79; 62.49;
1987;34; 0.358;292.05; 38.89; 89.99; 64.44;
1987;35; 0.349;291.34; 44.47; 86.65; 65.56;
1987;36; 0.341;290.41; 51.98; 82.45; 67.21;
1987;37; 0.328;289.36; 58.38; 78.46; 68.42;
1987;38; 0.309;288.00; 59.72; 76.56; 68.14;
1987;39; 0.289;286.46; 59.38; 73.85; 66.61;
1987;40; 0.268;285.17; 59.98; 62.88; 61.43;
1987;41; 0.246;282.99; 60.14; 61.96; 61.05;
1987;42; 0.217;280.47; 56.43; 64.68; 60.56;
1987;43; 0.071;263.12; 46.75; 37.20; 41.97;
1987;44; 0.151;275.32; 43.74; 54.08; 48.91;
1987;45; 0.121;272.65; 35.68; 49.44; 42.56;
1987;46; 0.093;270.41; 26.65; 45.40; 36.03;
1987;47; 0.072;268.33; 20.66; 42.89; 31.77;
1987;48; 0.058;266.49; 17.27; 43.39; 30.33;
1987;49; 0.052;265.16; 17.58; 42.05; 29.81;
1987;50; 0.047;264.40; 18.39; 39.13; 28.76;
1987;51; 0.043;263.45; 19.45; 36.44; 27.95;
1987;52; 0.042;262.53; 22.28; 35.88; 29.08;
1988; 1; 0.042;261.99; 24.71; 34.22; 29.46;
1988; 2; 0.043;260.66; 26.43; 38.50; 32.47;
1988; 3; 0.042;260.04; 28.49; 41.98; 35.24;
1988; 4; 0.043;260.17; 30.41; 43.54; 36.98;
1988; 5; 0.045;259.53; 32.13; 50.76; 41.44;
1988; 6; 0.047;259.87; 31.39; 55.37; 43.38;
1988; 7; 0.047;260.12; 27.12; 59.58; 43.35;
1988; 8; 0.047;260.87; 24.38; 62.88; 43.63;
1988; 9; 0.050;262.01; 23.82; 65.47; 44.64;
1988;10; 0.056;264.18; 21.87; 66.27; 44.07;
1988;11; 0.064;267.18; 21.06; 63.47; 42.27;
1988;12; 0.073;270.64; 18.55; 62.63; 40.59;
1988;13; 0.087;274.65; 16.24; 61.03; 38.64;
1988;14; 0.110;278.82; 15.88; 58.24; 37.06;
1988;15; 0.136;281.43; 15.94; 65.61; 40.78;
1988;16; 0.166;283.91; 16.11; 72.41; 44.26;
1988;17; 0.197;285.91; 15.61; 79.31; 47.46;
1988;18; 0.232;287.93; 15.62; 82.87; 49.24;
1988;19; 0.269;289.81; 15.91; 81.95; 48.93;
1988;20; 0.303;291.28; 15.77; 79.94; 47.86;
1988;21; 0.329;291.99; 15.18; 80.43; 47.81;
1988;22; 0.353;292.39; 16.73; 79.17; 47.95;
1988;23; 0.376;292.74; 20.75; 77.32; 49.04;
1988;24; 0.399;293.25; 29.97; 74.72; 52.35;
1988;25; 0.408;293.38; 34.43; 76.55; 55.49;
1988;26; 0.416;293.95; 38.87; 72.39; 55.63;
1988;27; 0.425;294.90; 46.59; 64.98; 55.79;
1988;28; 0.432;295.45; 55.15; 61.21; 58.18;
1988;29; 0.433;295.79; 60.59; 59.95; 60.27;
1988;30; 0.427;295.79; 61.76; 62.32; 62.04;
1988;31; 0.417;295.40; 59.15; 66.65; 62.90;
1988;32; 0.409;295.41; 57.95; 63.94; 60.94;
1988;33; 0.396;295.40; 54.69; 57.61; 56.15;
1988;34; 0.370;294.46; 46.71; 59.72; 53.22;
1988;35; 0.345;293.38; 42.39; 60.06; 51.22;
1988;36; 0.321;292.01; 41.52; 61.31; 51.41;
1988;37; 0.295;290.66; 41.27; 61.28; 51.27;
1988;38; 0.269;289.28; 38.44; 58.79; 48.62;
1988;39; 0.250;287.97; 37.59; 51.73; 44.66;
1988;40; 0.240;286.72; 43.03; 40.52; 41.78;
1988;41; 0.218;283.09; 42.62; 60.22; 51.42;
1988;42; 0.202;280.54; 46.72; 63.63; 55.18;
1988;43; 0.179;276.78; 47.31; 73.72; 60.52;
1988;44; 0.150;272.47; 42.93; 77.13; 60.03;
1988;45; 0.123;268.68; 36.71; 74.94; 55.83;
1988;46; 0.100;265.38; 32.24; 72.41; 52.33;
1988;47; 0.079;262.47; 26.90; 70.89; 48.90;
1988;48; 0.066;260.66; 24.60; 69.08; 46.84;
1988;49; 0.058;259.32; 22.55; 65.66; 44.11;
1988;50; 0.051;258.94; 20.82; 60.14; 40.48;
1988;51; 0.049;259.18; 23.83; 52.55; 38.19;
1988;52; 0.048;260.15; 27.20; 44.41; 35.80;
1989; 1; 0.050;261.73; 31.33; 34.87; 33.10;
1989; 2; 0.054;263.95; 36.72; 25.34; 31.03;
1989; 3; 0.058;266.53; 42.00; 16.01; 29.00;
1989; 4; 0.063;268.86; 48.72;  9.70; 29.21;
1989; 5; 0.071;270.78; 54.32;  8.35; 31.33;
1989; 6; 0.081;272.49; 56.80;  8.83; 32.82;
1989; 7; 0.090;274.00; 57.50;  8.62; 33.06;
1989; 8; 0.101;275.76; 58.10;  7.96; 33.03;
1989; 9; 0.111;277.67; 58.73;  7.81; 33.27;
1989;10; 0.126;279.45; 60.10;  8.83; 34.46;
1989;11; 0.142;281.35; 61.40;  6.97; 34.19;
1989;12; 0.163;283.22; 64.53; 10.61; 37.57;
1989;13; 0.188;285.20; 69.46; 12.18; 40.82;
1989;14; 0.214;287.18; 72.20; 11.42; 41.81;
1989;15; 0.239;289.01; 71.84; 14.35; 43.09;
1989;16; 0.264;290.45; 67.72; 22.65; 45.18;
1989;17; 0.294;291.75; 65.10; 29.80; 47.45;
1989;18; 0.331;292.91; 66.04; 36.45; 51.24;
1989;19; 0.363;293.66; 65.92; 44.58; 55.25;
1989;20; 0.392;294.02; 64.27; 53.33; 58.80;
1989;21; 0.411;294.71; 61.99; 54.24; 58.12;
1989;22; 0.416;294.97; 53.64; 54.68; 54.16;
1989;23; 0.412;294.92; 42.24; 57.00; 49.62;
1989;24; 0.407;295.08; 34.46; 57.21; 45.83;
1989;25; 0.403;295.19; 30.48; 58.52; 44.50;
1989;26; 0.407;295.66; 32.78; 54.21; 43.49;
1989;27; 0.404;296.06; 32.41; 51.97; 42.19;
1989;28; 0.390;296.25; 28.14; 51.82; 39.98;
1989;29; 0.371;296.06; 23.35; 56.34; 39.84;
1989;30; 0.352;295.62; 20.19; 63.54; 41.87;
1989;31; 0.351;295.97; 22.36; 59.85; 41.11;
1989;32; 0.350;296.40; 24.28; 52.47; 38.38;
1989;33; 0.341;295.66; 23.21; 54.53; 38.87;
1989;34; 0.331;294.75; 25.74; 56.01; 40.87;
1989;35; 0.318;293.62; 28.86; 56.64; 42.75;
1989;36; 0.304;292.17; 33.77; 58.98; 46.37;
1989;37; 0.286;290.59; 37.00; 61.96; 49.48;
1989;38; 0.268;288.37; 38.48; 70.76; 54.62;
1989;39; 0.265;287.26; 46.43; 61.66; 54.04;
1989;40; 0.261;286.27; 56.37; 46.73; 51.55;
1989;41; 0.247;284.75; 61.23; 37.27; 49.25;
1989;42; 0.228;282.80; 64.05; 35.84; 49.94;
1989;43; 0.210;280.52; 68.12; 36.08; 52.10;
1989;44; 0.200;279.00; 77.34; 19.76; 48.55;
1989;45; 0.178;277.52; 78.39; 12.87; 45.63;
1989;46; 0.144;274.49; 70.43; 20.07; 45.25;
1989;47; 0.115;271.67; 61.55; 25.01; 43.28;
1989;48; 0.095;269.56; 53.79; 29.30; 41.54;
1989;49; 0.085;268.16; 50.12; 29.85; 39.99;
1989;50; 0.073;265.99; 45.42; 33.04; 39.23;
1989;51; 0.068;265.21; 45.36; 29.79; 37.57;
1989;52; 0.070;265.95; 52.60; 23.22; 37.91;
1990; 1; 0.073;266.64; 59.14; 16.71; 37.92;
1990; 2; 0.076;267.58; 62.20; 11.33; 36.77;
1990; 3; 0.080;268.47; 66.24;  8.34; 37.29;
1990; 4; 0.086;269.88; 71.17;  5.45; 38.31;
1990; 5; 0.095;271.84; 74.88;  3.99; 39.44;
1990; 6; 0.106;273.93; 76.37;  3.27; 39.82;
1990; 7; 0.123;275.46; 80.68;  3.10; 41.89;
1990; 8; 0.143;277.27; 85.07;  2.21; 43.64;
1990; 9; 0.164;279.32; 89.32;  1.53; 45.43;
1990;10; 0.317;289.69; 59.26; 67.15; 63.21;
1990;11; 0.206;282.47; 94.08;  1.74; 47.91;
1990;12; 0.222;285.23; 93.85;  1.69; 47.77;
1990;13; 0.231;287.22; 91.07;  2.16; 46.61;
1990;14; 0.240;288.19; 85.95;  4.70; 45.33;
1990;15; 0.254;288.71; 79.23; 15.51; 47.37;
1990;16; 0.271;288.83; 70.81; 35.00; 52.91;
1990;17; 0.299;289.41; 67.10; 50.30; 58.70;
1990;18; 0.338;290.37; 69.90; 61.73; 65.82;
1990;19; 0.367;291.19; 68.04; 70.02; 69.03;
1990;20; 0.386;291.73; 61.49; 76.71; 69.10;
